City,Super Category (P0),Category (P1),Sub Category (P2),SKU ID,Image,Brand,SKU Name,SKU Size,MRP,SP,Link,Active?,Out of Stock?
Bangalore,Fruits & Vegetables,fruits-vegetables,"Lemon, Ginger & Garlic",1222458,https://www.bigbasket.com/media/uploads/p/s/1222458_1-fresho-fresho-chilli-green-long-fresho-ginger-fresho-coriander-leaves-100-g.jpg,Fresho,Chutney mix Combo,Combo,65.79,-,https://www.bigbasket.com/pd/1222458/fresho-fresho-chilli-green-long-fresho-ginger-fresho-coriander-leaves-100-g-combo/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,"Cut Fruit, Tender Coconut",1221868,https://www.bigbasket.com/media/uploads/p/s/1221868_1-fresho-tender-coconut.jpg,Fresho,Tender Coconut,5 pcs,309.20,-,https://www.bigbasket.com/pd/1221868/fresho-tender-coconut-5-pcs/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,Seasonal Fruits,40218332,https://www.bigbasket.com/media/uploads/p/s/40218332_1-fresho-grapes-green.jpg,Fresho,Grapes - Green Sonaka,Approx 500 g,69.74,0.11,https://www.bigbasket.com/pd/40218332/fresho-grapes-green-approx-500-g-1-pack/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,Mangoes,10000298,https://www.bigbasket.com/media/uploads/p/s/10000298_10-fresho-banganapalli-mango.jpg,Fresho,Banganapalli Mango,1 kg,94.86,72.09,https://www.bigbasket.com/pd/10000298/fresho-banganapalli-mango-1-kg/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,Apples & Pomegranate,40120006,https://www.bigbasket.com/media/uploads/p/s/40120006_5-fresho-pomegranate-small.jpg,Fresho,Fresho Pomegranate Regular,1 kg,210.53,160.00,https://www.bigbasket.com/pd/40120006/fresho-pomegranate-small-1-kg/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,"Kiwi, Melon, Citrus Fruit",10000207,https://www.bigbasket.com/media/uploads/p/s/10000207_24-fresho-watermelon-small.jpg,Fresho,Watermelon  - Small,1 pc,103.95,79.00,https://www.bigbasket.com/pd/10000207/fresho-watermelon-small-1-pc/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,"Kiwi, Melon, Citrus Fruit",10000267,https://www.bigbasket.com/media/uploads/p/s/10000267_24-fresho-orange-nagpur-regular.jpg,Fresho,"Orange - Nagpur, Regular (Loose)",500 g,73.68,0.11,https://www.bigbasket.com/pd/10000267/fresho-orange-nagpur-regular-500-g/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,Apples & Pomegranate,40033819,https://www.bigbasket.com/media/uploads/p/s/40033819_29-fresho-apple-shimla.jpg,Fresho,Apple - Shimla,4 pcs,201.32,38.25,https://www.bigbasket.com/pd/40033819/fresho-apple-shimla-4-pcs/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,"Banana, Sapota & Papaya",10000031,https://www.bigbasket.com/media/uploads/p/s/10000031_21-fresho-banana-yelakki.jpg,Fresho,Banana - Yelakki,1 kg,110.53,84.00,https://www.bigbasket.com/pd/10000031/fresho-banana-yelakki-1-kg/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,Mangoes,30001006,https://www.bigbasket.com/media/uploads/p/s/30001006_8-fresho-alphonso-mango-ratnagiri.jpg,Fresho,Mango - Alphonso Ratnagiri,6 pcs,769.74,97.50,https://www.bigbasket.com/pd/30001006/fresho-alphonso-mango-ratnagiri-6-pcs/,-,-
